Date,Value
1954-08-20,82.9
1954-08-23,82.9
1954-08-24,82.9
1954-08-25,82.9
1954-08-26,82.9
1954-08-27,82.9
1954-08-30,82.9
1954-08-31,82.9
1954-09-01,82.9
1954-09-02,82.9
1954-09-03,82.9
1954-09-06,82.9
1954-09-07,82.9
1954-09-08,82.9
1954-09-09,82.9
1954-09-10,82.9
1954-09-13,82.9
1954-09-14,82.9
1954-09-15,82.9
1954-09-16,82.9
1954-09-17,82.9
1954-09-20,82.9
1954-09-21,82.9
1954-09-22,82.9
1954-09-23,82.9
1954-09-24,82.9
1954-09-27,82.9
1954-09-28,82.9
1954-09-29,82.9
1954-09-30,82.9
1954-10-01,82.9
1954-10-04,82.9
1954-10-05,82.9
1954-10-06,82.9
1954-10-07,82.9
1954-10-08,82.9
1954-10-11,82.9
1954-10-12,82.9
1954-10-13,82.9
1954-10-14,82.9
1954-10-15,82.9
1954-10-18,82.9
1954-10-19,82.9
1954-10-20,82.9
1954-10-21,82.9
1954-10-22,82.9
1954-10-25,82.9
1954-10-26,82.9
1954-10-27,82.9
1954-10-28,82.9
1954-10-29,82.9
1954-11-01,87.0
1954-11-02,87.0
1954-11-03,87.0
1954-11-04,87.0
1954-11-05,87.0
1954-11-08,87.0
1954-11-09,87.0
1954-11-10,87.0
1954-11-11,87.0
1954-11-12,87.0
1954-11-15,87.0
1954-11-16,87.0
1954-11-17,87.0
1954-11-18,87.0
1954-11-19,87.0
1954-11-22,87.0
1954-11-23,87.0
1954-11-24,87.0
1954-11-25,87.0
1954-11-26,87.0
1954-11-29,87.0
1954-11-30,87.0
1954-12-01,87.0
1954-12-02,87.0
1954-12-03,87.0
1954-12-06,87.0
1954-12-07,87.0
1954-12-08,87.0
1954-12-09,87.0
1954-12-10,87.0
1954-12-13,87.0
1954-12-14,87.0
1954-12-15,87.0
1954-12-16,87.0
1954-12-17,87.0
1954-12-20,87.0
1954-12-21,87.0
1954-12-22,87.0
1954-12-23,87.0
1954-12-24,87.0
1954-12-27,87.0
1954-12-28,87.0
1954-12-29,87.0
1954-12-30,87.0
1954-12-31,87.0
1955-01-03,87.0
1955-01-04,87.0
1955-01-05,87.0
1955-01-06,87.0
1955-01-07,87.0
1955-01-10,87.0
1955-01-11,87.0
1955-01-12,87.0
1955-01-13,87.0
1955-01-14,87.0
1955-01-17,87.0
1955-01-18,87.0
1955-01-19,87.0
1955-01-20,87.0
1955-01-21,87.0
1955-01-24,87.0
1955-01-25,87.0
1955-01-26,87.0
1955-01-27,87.0
1955-01-28,87.0
1955-01-31,87.0
1955-02-01,95.9
1955-02-02,95.9
1955-02-03,95.9
1955-02-04,95.9
1955-02-07,95.9
1955-02-08,95.9
1955-02-09,95.9
1955-02-10,95.9
1955-02-11,95.9
1955-02-14,95.9
1955-02-15,95.9
1955-02-16,95.9
1955-02-17,95.9
1955-02-18,95.9
1955-02-21,95.9
1955-02-22,95.9
1955-02-23,95.9
1955-02-24,95.9
1955-02-25,95.9
1955-02-28,95.9
1955-03-01,95.9
1955-03-02,95.9
1955-03-03,95.9
1955-03-04,95.9
1955-03-07,95.9
1955-03-08,95.9
1955-03-09,95.9
1955-03-10,95.9
1955-03-11,95.9
1955-03-14,95.9
1955-03-15,95.9
1955-03-16,95.9
1955-03-17,95.9
1955-03-18,95.9
1955-03-21,95.9
1955-03-22,95.9
1955-03-23,95.9
1955-03-24,95.9
1955-03-25,95.9
1955-03-28,95.9
1955-03-29,95.9
1955-03-30,95.9
1955-03-31,95.9
1955-04-01,95.9
1955-04-04,95.9
1955-04-05,95.9
1955-04-06,95.9
1955-04-07,95.9
1955-04-08,95.9
1955-04-11,95.9
1955-04-12,95.9
1955-04-13,95.9
1955-04-14,95.9
1955-04-15,95.9
1955-04-18,95.9
1955-04-19,95.9
1955-04-20,95.9
1955-04-21,95.9
1955-04-22,95.9
1955-04-25,95.9
1955-04-26,95.9
1955-04-27,95.9
1955-04-28,95.9
1955-04-29,95.9
1955-05-02,99.1
1955-05-03,99.1
1955-05-04,99.1
