Date,CHNMAINLANDEPU_cleaned,Consumer Price Index_cleaned,DGS10_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,MICH_cleaned,SP500_Historical_Prices_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
2022-05-09,386.750242902272,0.8986577274175289,3.05,0.83,8.5,-1.1421589460263504,-0.1201972893438818,5.3,-3.2037100632356763,0.44,58.4,3.6,97.81,103.650002
2022-05-10,386.750242902272,0.8986577274175289,2.99,0.83,8.5,-0.1880810360578189,-0.1201972893438818,5.3,0.2457897449853474,0.37,58.4,3.6,135.75,103.919998
2022-05-11,386.750242902272,0.8986577274175289,2.91,0.83,8.5,-0.2907289759879417,-0.1201972893438818,5.3,-1.646320750393837,0.25,58.4,3.6,102.02,103.849998
2022-05-12,386.750242902272,0.8986577274175289,2.84,0.83,8.5,-0.8045356371490286,-0.1201972893438818,5.3,-0.1295964505871771,0.28,58.4,3.6,144.73,104.849998
2022-05-13,386.750242902272,0.8986577274175289,2.93,0.83,8.5,-1.3880572641663536,-0.1201972893438818,5.3,2.386969542307149,0.32,58.4,3.6,140.0,104.559998
2022-05-16,386.750242902272,0.8986577274175289,2.88,0.83,8.5,-0.1159196290571817,-0.1201972893438818,5.3,-0.3946400929555671,0.3,58.4,3.6,124.37,104.190002
2022-05-17,386.750242902272,0.8986577274175289,2.98,0.83,8.5,0.8565902182923413,-0.1201972893438818,5.3,2.016963223486368,0.27,58.4,3.6,101.23,103.360001
2022-05-18,386.750242902272,0.8986577274175289,2.89,0.83,8.5,-0.7835616438356174,-0.1201972893438818,5.3,-4.03952607874526,0.21,58.4,3.6,97.83,103.809998
2022-05-19,386.750242902272,0.8986577274175289,2.84,0.83,8.5,1.8390677638482344,-0.1201972893438818,5.3,-0.5833781800992588,0.21,58.4,3.6,157.59,102.720001
2022-05-20,386.750242902272,0.8986577274175289,2.78,0.83,8.5,-0.5314533622559625,-0.1201972893438818,5.3,0.0146141769658436,0.18,58.4,3.6,185.12,103.150002
2022-05-23,386.750242902272,0.8986577274175289,2.86,0.83,8.5,1.1994329953113114,-0.1201972893438818,5.3,1.855503993092356,0.21,58.4,3.6,135.77,102.080002
2022-05-24,386.750242902272,0.8986577274175289,2.76,0.83,8.5,0.5872212046115655,-0.1201972893438818,5.3,-0.8120797617175213,0.26,58.4,3.6,135.79,101.860001
2022-05-25,386.750242902272,0.8986577274175289,2.75,0.83,8.5,-1.065824005141658,-0.1201972893438818,5.3,0.9450764734207696,0.27,58.4,3.6,100.89,102.059998
2022-05-26,386.750242902272,0.8986577274175289,2.75,0.83,8.5,0.0595495885664654,-0.1201972893438818,5.3,1.9883256167224197,0.29,58.4,3.6,132.56,101.830002
2022-05-27,386.750242902272,0.8986577274175289,2.74,0.83,8.5,0.1893631986149335,-0.1201972893438818,5.3,2.474226295510973,0.27,58.4,3.6,145.02,101.669998
2022-05-30,386.750242902272,0.8986577274175289,2.74,0.83,8.5,0.1728048385354785,-0.1201972893438818,5.3,0.0,0.27,58.4,3.6,82.99,101.669998
2022-05-31,386.750242902272,0.8986577274175289,2.85,0.83,8.5,-0.8787061994609102,-0.1201972893438818,5.3,-0.6274368617659065,0.32,58.4,3.6,72.9,101.75
2022-06-01,328.094950109791,1.2482881942895263,2.94,0.83,8.5,0.3371947571653821,-0.2019531358065651,5.3,-0.7482768681131846,0.28,50.0,3.6,161.66,102.550003
2022-06-02,328.094950109791,1.2482881942895263,2.92,0.83,8.5,0.0,-0.2019531358065651,5.3,1.8431018038486124,0.27,50.0,3.6,144.13,101.769997
2022-06-03,328.094950109791,1.2482881942895263,2.96,0.83,8.5,0.0,-0.2019531358065651,5.3,-1.6347313992415624,0.3,50.0,3.6,163.85,102.139999
2022-06-06,328.094950109791,1.2482881942895263,3.04,0.83,8.5,0.1246680036858238,-0.2019531358065651,5.3,0.3137400778913113,0.31,50.0,3.6,127.27,102.440002
2022-06-07,328.094950109791,1.2482881942895263,2.98,0.83,8.5,0.1299263750541346,-0.2019531358065651,5.3,0.9523393173235029,0.23,50.0,3.6,167.65,102.32
2022-06-08,328.094950109791,1.2482881942895263,3.03,0.83,8.5,0.1838235294117751,-0.2019531358065651,5.3,-1.079394578593562,0.25,50.0,3.6,110.13,102.540001
2022-06-09,328.094950109791,1.2482881942895263,3.04,0.83,8.5,-0.4371289800323752,-0.2019531358065651,5.3,-2.379869397635359,0.21,50.0,3.6,112.11,103.220001
2022-06-10,328.094950109791,1.2482881942895263,3.15,0.83,8.5,-0.8076318499647739,-0.2019531358065651,5.3,-2.9110303335524668,0.09,50.0,3.6,93.65,104.150002
2022-06-13,328.094950109791,1.2482881942895263,3.43,0.83,8.5,0.0491803278688474,-0.2019531358065651,5.3,-3.876843066523728,0.03,50.0,3.6,95.37,105.080002
2022-06-14,328.094950109791,1.2482881942895263,3.49,0.83,8.5,-0.6881861379649412,-0.2019531358065651,5.3,-0.3773679745995739,0.04,50.0,3.6,120.62,105.519997
2022-06-15,328.094950109791,1.2482881942895263,3.33,0.83,8.5,0.3024803387779773,-0.2019531358065651,5.3,1.4592504858983224,0.13,50.0,3.6,140.82,105.160004
2022-06-16,328.094950109791,1.2482881942895263,3.28,1.58,8.5,0.1480425485250514,-0.2019531358065651,5.3,-3.251195148816344,0.14,50.0,3.6,189.54,103.629997
2022-06-17,328.094950109791,1.2482881942895263,3.25,1.58,8.5,0.8267177662195424,-0.2019531358065651,5.3,0.2200865698254617,0.08,50.0,3.6,108.29,104.699997
2022-06-20,328.094950109791,1.2482881942895263,3.25,1.58,8.5,-0.2769331016507337,-0.2019531358065651,5.3,0.0,0.08,50.0,3.6,165.42,104.699997
2022-06-21,328.094950109791,1.2482881942895263,3.31,1.58,8.5,0.20691532806969,-0.2019531358065651,5.3,2.4477242280086964,0.1,50.0,3.6,140.11,104.440002
2022-06-22,328.094950109791,1.2482881942895263,3.16,1.58,8.5,0.0869423463565777,-0.2019531358065651,5.3,-0.1301572314400645,0.1,50.0,3.6,96.97,104.199997
2022-06-23,328.094950109791,1.2482881942895263,3.09,1.58,8.5,0.0,-0.2019531358065651,5.3,0.9532217409177868,0.08,50.0,3.6,96.96,104.43
2022-06-24,328.094950109791,1.2482881942895263,3.13,1.58,8.5,-0.8903849286063359,-0.2019531358065651,5.3,3.056329358583576,0.09,50.0,3.6,111.86,104.190002
2022-06-27,328.094950109791,1.2482881942895263,3.2,1.58,8.5,0.0438236099698619,-0.2019531358065651,5.3,-0.2973071533776239,0.12,50.0,3.6,140.94,103.940002
2022-06-28,328.094950109791,1.2482881942895263,3.2,1.58,8.5,-0.3942397196517566,-0.2019531358065651,5.3,-2.014303607589208,0.1,50.0,3.6,129.96,104.510002
2022-06-29,328.094950109791,1.2482881942895263,3.1,1.58,8.5,-0.071463910725078,-0.2019531358065651,5.3,-0.0711745409159081,0.04,50.0,3.6,135.33,105.110001
2022-06-30,328.094950109791,1.2482881942895263,2.98,1.58,8.5,-0.0440092419408011,-0.2019531358065651,5.3,-0.8759278267998716,0.06,50.0,3.6,158.37,104.690002
2022-07-01,359.977442421623,-0.0064407652985098,2.88,1.58,7.2,-1.0731975784259773,-0.0161704644157434,5.2,1.0553814029047317,0.04,51.5,3.5,177.73,105.139999
2022-07-04,359.977442421623,-0.0064407652985098,2.88,1.58,7.2,0.606397774687073,-0.0161704644157434,5.2,0.0,0.04,51.5,3.5,309.83,105.139999
2022-07-05,359.977442421623,-0.0064407652985098,2.82,1.58,7.2,-2.012829020128293,-0.0161704644157434,5.2,0.1584128514236615,0.0,51.5,3.5,116.59,106.5
2022-07-06,359.977442421623,-0.0064407652985098,2.93,1.58,7.2,-0.9988713318284436,-0.0161704644157434,5.2,0.3573164290430197,-0.04,51.5,3.5,91.52,107.099998
2022-07-07,359.977442421623,-0.0064407652985098,3.01,1.58,7.2,-0.3591175967622373,-0.0161704644157434,5.2,1.4964587965241805,-0.02,51.5,3.5,93.67,107.129997
2022-07-08,359.977442421623,-0.0064407652985098,3.09,1.58,7.2,-0.5606407322654383,-0.0161704644157434,5.2,-0.0830271529819071,-0.03,51.5,3.5,104.33,107.010002
2022-07-11,359.977442421623,-0.0064407652985098,2.99,1.58,7.2,0.1035554021401319,-0.0161704644157434,5.2,-1.1527461422777274,-0.08,51.5,3.5,200.3,108.019997
